Year,ID,YoD
1996,A35,NA
1996,I13,NA
1996,I27,NA
1996,I35,NA
1996,A34,NA
1996,C08,NA
1996,D11,NA
1996,I26,NA
1996,G22,NA
1996,I21,NA
1996,R13,NA
1996,A42,NA
1996,I04,NA
1996,I24,NA
1996,I40,NA
1996,A43,NA
1996,G31,NA
1996,D12,NA
1996,I50,NA
1996,I54,NA
1996,A50,NA
1996,D13,NA
1996,G37,NA
1996,R22,NA
1996,C13,NA
1996,R23,NA
1996,I51,NA
1996,A52,NA
1996,G41,NA
1996,R24,NA
1996,H09,NA
1996,A54,NA
1996,I57,NA
1996,A56,NA
1996,D17,NA
1996,G48,NA
1996,I65,NA
1996,B14,NA
1996,G46,NA
1996,G50,NA
1996,I68,NA
1996,I69,NA
1996,G51,NA
1996,G52,NA
1996,I71,NA
1996,A62,NA
1996,G53,NA
1996,G54,NA
1996,R29,NA
1996,A64,NA
1996,G58,NA
1996,A67,NA
1996,A69,NA
1996,I83,NA
1996,C23,NA
1996,D19,NA
1996,R35,NA
1996,A70,NA
1996,A72,NA
1996,D20,NA
1996,G62,NA
1996,G63,NA
1996,I90,NA
1996,I92,NA
1996,R38,NA
1996,A73,NA
1996,G64,NA
1996,G65,NA
1996,G69,NA
1996,R39,NA
1996,R40,NA
1996,A75,NA
1996,H12,NA
1996,I104,NA
1996,I96,NA
1996,R41,NA
1996,I100,NA
1996,I99,NA
1996,C26,NA
1996,R48,NA
1996,G82,NA
1996,A88,NA
1996,R52,NA
1996,A96,NA
1996,G95,NA
1997,A36,1998
1997,G16,1998
1997,R09,2000
1997,D07,2000
1997,H06,2000
1997,A23,2000
1997,I18,2000
1997,H03,2000
1997,R20,2000
1997,I38,2000
1997,G17,2001
1997,A08,2001
1997,G08,2001
1997,A45,2001
1997,I36,2002
1997,R02,2005
1997,G04,2006
1997,I15,2006
1997,D08,2006
1997,A59,2006
1997,C21,2007
1997,D15,2008
1997,I80,2008
1997,R07,2009
1997,G25,2009
1997,H08,2009
1997,G23,2011
1997,A51,2011
1997,A12,2012
1997,A28,2012
1997,A30,2013
1997,I11,2013
1997,C06,2013
1997,A11,2013
1997,A24,2013
1997,G29,2013
1997,G34,2013
1997,D10,2013
1997,C19,2013
1997,I82,2014
1997,I19,2015
1997,I63,2015
1997,W03,2017
1997,G49,2017
1997,B07,NA
1997,R05,NA
1997,G03,NA
1997,I17,NA
1997,G02,NA
1997,I20,NA
1997,R04,NA
1997,I22,NA
1997,R18,NA
1997,I16,NA
1997,R17,NA
1997,I12,NA
1997,I33,NA
1997,C10,NA
1997,D09,NA
1997,G20,NA
1997,H05,NA
1997,G27,NA
1997,A35,NA
1997,I13,NA
1997,I27,NA
1997,I35,NA
1997,A34,NA
1997,C08,NA
1997,D11,NA
1997,I26,NA
1997,G22,NA
1997,I21,NA
1997,R13,NA
1997,A42,NA
1997,I04,NA
1997,I24,NA
1997,I40,NA
1997,A43,NA
1997,G31,NA
1997,D12,NA
1997,I50,NA
1997,I54,NA
1997,A50,NA
1997,D13,NA
1997,G37,NA
1997,R22,NA
1997,C13,NA
1997,R23,NA
1997,I51,NA
1997,A52,NA
1997,G41,NA
1997,R24,NA
1997,H09,NA
1997,A54,NA
1997,I57,NA
1997,A56,NA
1997,D17,NA
1997,G48,NA
1997,I65,NA
1997,B14,NA
1997,G46,NA
1997,G50,NA
1997,I68,NA
1997,I69,NA
1997,G51,NA
1997,G52,NA
1997,I71,NA
1997,A62,NA
1997,G53,NA
1997,G54,NA
1997,R29,NA
1997,A64,NA
1997,G58,NA
1997,A67,NA
1997,A69,NA
1997,I83,NA
1997,C23,NA
1997,D19,NA
1997,R35,NA
1997,A70,NA
1997,A72,NA
1997,D20,NA
1997,G62,NA
1997,G63,NA
1997,I90,NA
1997,I92,NA
1997,R38,NA
1997,A73,NA
1997,G64,NA
1997,G65,NA
1997,G69,NA
1997,R39,NA
1997,R40,NA
1997,A75,NA
1997,H12,NA
1997,I104,NA
1997,I96,NA
1997,R41,NA
1997,I100,NA
1997,I99,NA
1997,C26,NA
1997,R48,NA
1997,G82,NA
1997,A88,NA
1997,R52,NA
1997,A96,NA
1997,G95,NA
1998,R09,2000
1998,D07,2000
1998,H06,2000
1998,A23,2000
1998,I18,2000
1998,H03,2000
1998,R20,2000
1998,I38,2000
1998,G17,2001
1998,A08,2001
1998,G08,2001
1998,A45,2001
1998,I36,2002
1998,R02,2005
1998,G04,2006
1998,I15,2006
1998,D08,2006
1998,A59,2006
1998,C21,2007
1998,D15,2008
1998,I80,2008
1998,R07,2009
1998,G25,2009
1998,H08,2009
1998,G23,2011
1998,A51,2011
1998,A12,2012
1998,A28,2012
1998,A30,2013
1998,I11,2013
1998,C06,2013
1998,A11,2013
1998,A24,2013
1998,G29,2013
1998,G34,2013
1998,D10,2013
1998,C19,2013
1998,I82,2014
1998,I19,2015
1998,I63,2015
1998,W03,2017
1998,G49,2017
1998,B07,NA
1998,R05,NA
1998,G03,NA
1998,I17,NA
1998,G02,NA
1998,I20,NA
1998,R04,NA
1998,I22,NA
1998,R18,NA
1998,I16,NA
1998,R17,NA
1998,I12,NA
1998,I33,NA
1998,C10,NA
1998,D09,NA
1998,G20,NA
1998,H05,NA
1998,G27,NA
1998,A35,NA
1998,I13,NA
1998,I27,NA
1998,I35,NA
1998,A34,NA
1998,C08,NA
1998,D11,NA
1998,I26,NA
1998,G22,NA
1998,I21,NA
1998,R13,NA
1998,A42,NA
1998,I04,NA
1998,I24,NA
1998,I40,NA
1998,A43,NA
1998,G31,NA
1998,D12,NA
1998,I50,NA
1998,I54,NA
1998,A50,NA
1998,D13,NA
1998,G37,NA
1998,R22,NA
1998,C13,NA
1998,R23,NA
1998,I51,NA
1998,A52,NA
1998,G41,NA
1998,R24,NA
1998,H09,NA
1998,A54,NA
1998,I57,NA
1998,A56,NA
1998,D17,NA
1998,G48,NA
1998,I65,NA
1998,B14,NA
1998,G46,NA
1998,G50,NA
1998,I68,NA
1998,I69,NA
1998,G51,NA
1998,G52,NA
1998,I71,NA
1998,A62,NA
1998,G53,NA
1998,G54,NA
1998,R29,NA
1998,A64,NA
1998,G58,NA
1998,A67,NA
1998,A69,NA
1998,I83,NA
1998,C23,NA
1998,D19,NA
1998,R35,NA
1998,A70,NA
1998,A72,NA
1998,D20,NA
1998,G62,NA
1998,G63,NA
1998,I90,NA
1998,I92,NA
1998,R38,NA
1998,A73,NA
1998,G64,NA
1998,G65,NA
1998,G69,NA
1998,R39,NA
1998,R40,NA
1998,A75,NA
1998,H12,NA
1998,I104,NA
1998,I96,NA
1998,R41,NA
1998,I100,NA
1998,I99,NA
1998,C26,NA
1998,R48,NA
1998,G82,NA
1998,A88,NA
1998,R52,NA
1998,A96,NA
1998,G95,NA
1999,R09,2000
1999,D07,2000
1999,H06,2000
1999,A23,2000
1999,I18,2000
1999,H03,2000
1999,R20,2000
1999,I38,2000
1999,G17,2001
1999,A08,2001
1999,G08,2001
1999,A45,2001
1999,I36,2002
1999,R02,2005
1999,G04,2006
1999,I15,2006
1999,D08,2006
1999,A59,2006
1999,C21,2007
1999,D15,2008
1999,I80,2008
1999,R07,2009
1999,G25,2009
1999,H08,2009
1999,G23,2011
1999,A51,2011
1999,A12,2012
1999,A28,2012
1999,A30,2013
1999,I11,2013
1999,C06,2013
1999,A11,2013
1999,A24,2013
1999,G29,2013
1999,G34,2013
1999,D10,2013
1999,C19,2013
1999,I82,2014
1999,I19,2015
1999,I63,2015
1999,W03,2017
1999,G49,2017
1999,B07,NA
1999,R05,NA
1999,G03,NA
1999,I17,NA
1999,G02,NA
1999,I20,NA
1999,R04,NA
1999,I22,NA
1999,R18,NA
1999,I16,NA
1999,R17,NA
1999,I12,NA
1999,I33,NA
1999,C10,NA
1999,D09,NA
1999,G20,NA
1999,H05,NA
1999,G27,NA
1999,A35,NA
1999,I13,NA
1999,I27,NA
1999,I35,NA
1999,A34,NA
1999,C08,NA
1999,D11,NA
1999,I26,NA
1999,G22,NA
1999,I21,NA
1999,R13,NA
1999,A42,NA
1999,I04,NA
1999,I24,NA
1999,I40,NA
1999,A43,NA
1999,G31,NA
1999,D12,NA
1999,I50,NA
1999,I54,NA
1999,A50,NA
1999,D13,NA
1999,G37,NA
1999,R22,NA
1999,C13,NA
1999,R23,NA
1999,I51,NA
1999,A52,NA
1999,G41,NA
1999,R24,NA
1999,H09,NA
1999,A54,NA
1999,I57,NA
1999,A56,NA
1999,D17,NA
1999,G48,NA
1999,I65,NA
1999,B14,NA
1999,G46,NA
1999,G50,NA
1999,I68,NA
