"","ID","Year","YoD","YoB","Calved","Age"
"359","A42",2013,NA,1980,1,33
"361","A42",2002,NA,1980,0,22
"362","A42",2010,NA,1980,0,30
"364","A42",1998,NA,1980,0,18
"365","A42",1996,NA,1980,1,16
"366","A42",1999,NA,1980,0,19
"367","A42",2004,NA,1980,1,24
"368","A42",2008,NA,1980,1,28
"370","A42",2015,NA,1980,0,35
"374","A42",2001,NA,1980,0,21
"375","A42",2011,NA,1980,0,31
"382","A42",1988,NA,1980,0,8
"386","A42",2000,NA,1980,0,20
"387","A42",1991,NA,1980,1,11
"388","A43",2011,NA,1981,0,30
"390","A43",2010,NA,1981,0,29
"391","A43",2009,NA,1981,0,28
"392","A43",1993,NA,1981,0,12
"393","A43",2007,NA,1981,0,26
"394","A43",2016,NA,1981,0,35
"396","A43",2014,NA,1981,0,33
"399","A43",2003,NA,1981,0,22
"400","A43",1999,NA,1981,0,18
"401","A43",2004,NA,1981,0,23
"403","A43",1992,NA,1981,0,11
"405","A43",2006,NA,1981,0,25
"406","A43",2013,NA,1981,0,32
"407","A43",1989,NA,1981,0,8
"408","A43",2017,NA,1981,0,36
"409","A43",2015,NA,1981,0,34
"411","A43",1991,NA,1981,0,10
"412","A43",1990,NA,1981,0,9
"413","A43",2002,NA,1981,0,21
"416","A43",2000,NA,1981,0,19
"418","A43",2005,NA,1981,0,24
"419","A43",1997,NA,1981,1,16
"421","A43",2012,NA,1981,0,31
"423","A43",2001,NA,1981,0,20
"424","A43",1995,NA,1981,1,14
"425","A43",2008,NA,1981,0,27
"426","A45",1997,2001,1983,1,14
"430","A45",1994,2001,1983,0,11
"433","A45",1992,2001,1983,0,9
"434","A45",1993,2001,1983,0,10
"439","A45",2000,2001,1983,1,17
"441","A45",1991,2001,1983,0,8
"445","A45",1995,2001,1983,0,12
"451","A48",1991,1997,1983,0,8
"454","A48",1993,1997,1983,0,10
"457","A48",1992,1997,1983,0,9
"461","A48",1996,1997,1983,1,13
"463","A48",1994,1997,1983,0,11
"464","A50",1995,NA,1984,0,11
"465","A50",2013,NA,1984,0,29
"471","A50",1999,NA,1984,1,15
"472","A50",2014,NA,1984,0,30
"474","A50",2000,NA,1984,0,16
"477","A50",1994,NA,1984,0,10
"478","A50",2002,NA,1984,0,18
"480","A50",1997,NA,1984,0,13
"482","A50",2005,NA,1984,1,21
"483","A50",2003,NA,1984,0,19
"486","A50",1992,NA,1984,0,8
"487","A50",1996,NA,1984,0,12
"488","A50",1998,NA,1984,0,14
"489","A50",2015,NA,1984,0,31
"490","A50",2011,NA,1984,1,27
"491","A50",2001,NA,1984,0,17
"492","A50",1993,NA,1984,0,9
"496","A50",2017,NA,1984,1,33
"497","A50",2007,NA,1984,0,23
"498","A50",2008,NA,1984,0,24
"499","A50",2009,NA,1984,0,25
"502","A51",2000,2011,1986,0,14
"507","A51",1998,2011,1986,0,12
"509","A51",1995,2011,1986,0,9
"516","A51",2003,2011,1986,0,17
"517","A51",1997,2011,1986,0,11
"518","A51",2004,2011,1986,0,18
"520","A51",2001,2011,1986,0,15
"523","A51",1999,2011,1986,0,13
"524","A51",1994,2011,1986,0,8
"525","A51",1996,2011,1986,0,10
"527","A51",2006,2011,1986,1,20
"529","A51",2010,2011,1986,1,24
"531","A51",2008,2011,1986,0,22
"532","A51",2002,2011,1986,0,16
"536","A52",2013,NA,1987,1,26
"537","A52",2016,NA,1987,0,29
"538","A52",2004,NA,1987,1,17
"540","A52",1998,NA,1987,0,11
"541","A52",1996,NA,1987,0,9
"547","A52",2009,NA,1987,0,22
"549","A52",2006,NA,1987,0,19
"550","A52",2011,NA,1987,0,24
"551","A52",1995,NA,1987,0,8
"555","A52",2010,NA,1987,0,23
"557","A52",2000,NA,1987,0,13
"559","A52",2015,NA,1987,0,28
"560","A52",1997,NA,1987,0,10
"562","A52",2002,NA,1987,1,15
"565","A52",2008,NA,1987,0,21
"566","A52",2017,NA,1987,0,30
"568","A52",2007,NA,1987,0,20
"569","A52",1999,NA,1987,0,12
"584","A54",2004,NA,1989,0,15
"587","A54",2016,NA,1989,0,27
"593","A54",1998,NA,1989,0,9
"596","A54",1999,NA,1989,0,10
"597","A54",2015,NA,1989,0,26
"599","A54",2011,NA,1989,0,22
"600","A54",2006,NA,1989,1,17
"601","A54",2002,NA,1989,1,13
"602","A54",2013,NA,1989,1,24
"605","A54",1997,NA,1989,0,8
"609","A54",2000,NA,1989,0,11
"610","A54",2017,NA,1989,0,28
"617","A54",2009,NA,1989,1,20
"624","A56",2015,NA,1990,0,25
"625","A56",2017,NA,1990,0,27
"628","A56",2001,NA,1990,0,11
"630","A56",2005,NA,1990,0,15
"631","A56",2002,NA,1990,0,12
"633","A56",1998,NA,1990,0,8
"634","A56",2004,NA,1990,0,14
"635","A56",2012,NA,1990,0,22
"639","A56",2013,NA,1990,0,23
"640","A56",2016,NA,1990,0,26
"642","A56",2003,NA,1990,0,13
"645","A56",2010,NA,1990,1,20
"647","A56",2000,NA,1990,0,10
"648","A56",1999,NA,1990,0,9
"652","A56",2014,NA,1990,0,24
"653","A56",2007,NA,1990,1,17
"680","A59",2000,2006,1992,0,8
"689","A59",2002,2006,1992,0,10
"693","A59",2004,2006,1992,1,12
"695","A59",2001,2006,1992,0,9
"707","A62",2015,NA,1994,0,21
"709","A62",2007,NA,1994,0,13
"710","A62",2017,NA,1994,0,23
"713","A62",2003,NA,1994,0,9
"716","A62",2002,NA,1994,0,8
"718","A62",2005,NA,1994,1,11
"721","A62",2009,NA,1994,1,15
"723","A62",2011,NA,1994,0,17
"729","A62",2013,NA,1994,1,19
"730","A62",2016,NA,1994,0,22
"749","A64",2005,NA,1995,0,10
"757","A64",2008,NA,1995,1,13
"759","A64",2010,NA,1995,0,15
"760","A64",2003,NA,1995,0,8
"763","A64",2012,NA,1995,0,17
"766","A64",2015,NA,1995,1,20
"767","A64",2013,NA,1995,0,18
"771","A64",2006,NA,1995,0,11
"775","A64",2004,NA,1995,0,9
"776","A64",2011,NA,1995,0,16
"778","A64",2017,NA,1995,0,22
"787","A67",2007,NA,1997,0,10
"789","A67",2014,NA,1997,0,17
"792","A67",2009,NA,1997,1,12
"796","A67",2006,NA,1997,0,9
"797","A67",2005,NA,1997,0,8
"802","A67",2012,NA,1997,1,15
"805","A67",2016,NA,1997,1,19
"818","A69",2009,NA,1997,1,12
"821","A69",2011,NA,1997,0,14
"830","A69",2006,NA,1997,0,9
"833","A69",2007,NA,1997,0,10
"836","A69",2016,NA,1997,0,19
"839","A69",2014,NA,1997,1,17
"842","A69",2017,NA,1997,0,20
"843","A69",2005,NA,1997,0,8
"847","A69",2012,NA,1997,0,15
"857","A70",2016,NA,1999,1,17
"869","A70",2013,NA,1999,0,14
"870","A70",2007,NA,1999,0,8
"875","A70",2009,NA,1999,0,10
"879","A70",2011,NA,1999,1,12
"882","A70",2008,NA,1999,0,9
"891","A70",2014,NA,1999,0,15
"894","A72",2016,NA,1999,0,17
"895","A72",2017,NA,1999,0,18
"912","A72",2011,NA,1999,0,12
"915","A72",2010,NA,1999,0,11
"919","A72",2014,NA,1999,1,15
"920","A72",2008,NA,1999,0,9
"922","A72",2009,NA,1999,0,10
"924","A72",2007,NA,1999,0,8
"928","A72",2012,NA,1999,0,13
"933","A73",2013,NA,2000,1,13
"937","A73",2015,NA,2000,0,15
"950","A73",2017,NA,2000,1,17
"953","A73",2010,NA,2000,0,10
"954","A73",2009,NA,2000,0,9
"959","A73",2011,NA,2000,0,11
"964","A73",2008,NA,2000,0,8
"978","A75",2012,NA,2002,1,10
"986","A75",2014,NA,2002,0,12
"996","A75",2016,NA,2002,1,14
"1002","A75",2010,NA,2002,0,8
"1022","A88",2017,NA,2008,0,9
"1024","A88",2016,NA,2008,0,8
"1084","B07",2015,NA,1949,0,66
"1087","B07",2013,NA,1949,0,64
"1089","B07",2007,NA,1949,0,58
"1090","B07",2016,NA,1949,0,67
"1091","B07",2004,NA,1949,0,55
"1092","B07",2014,NA,1949,0,65
"1093","B07",2000,NA,1949,0,51
"1094","B07",1989,NA,1949,0,40
"1095","B07",1991,NA,1949,1,42
"1096","B07",1999,NA,1949,0,50
"1097","B07",2001,NA,1949,0,52
"1098","B07",2008,NA,1949,0,59
"1099","B07",2006,NA,1949,0,57
"1100","B07",2012,NA,1949,0,63
"1101","B07",1998,NA,1949,0,49
"1102","B07",1995,NA,1949,1,46
"1104","B07",2011,NA,1949,0,62
"1105","B07",2003,NA,1949,0,54
"1106","B07",1993,NA,1949,0,44
"1107","B07",2010,NA,1949,0,61
"1108","B07",1984,NA,1949,1,35
"1109","B07",2009,NA,1949,0,60
"1110","B07",1982,NA,1949,0,33
"1111","B07",1987,NA,1949,1,38
"1112","B07",2002,NA,1949,0,53
"1114","B07",2005,NA,1949,0,56
"1115","B07",1981,NA,1949,0,32
"1117","B07",2017,NA,1949,0,68
"1119","B07",1997,NA,1949,0,48
"1121","B14",2004,NA,1991,1,13
"1123","B14",1999,NA,1991,0,8
"1124","B14",2011,NA,1991,0,20
"1126","B14",2014,NA,1991,1,23
"1133","B14",2001,NA,1991,0,10
"1134","B14",2000,NA,1991,0,9
"1135","B14",2008,NA,1991,1,17
"1143","B14",2010,NA,1991,0,19
"1145","B14",2006,NA,1991,0,15
"1149","B14",2017,NA,1991,0,26
"1150","B14",2012,NA,1991,0,21
"1152","B14",2002,NA,1991,0,11
"1153","B14",2016,NA,1991,0,25
"1159","C04",1980,1984,1934,0,46
"1160","C04",1981,1984,1934,0,47
"1161","C04",1982,1984,1934,0,48
"1162","C04",1983,1984,1934,0,49
"1163","C05",1991,1997,1923,0,68
"1164","C05",1990,1997,1923,0,67
"1165","C05",1985,1997,1923,0,62
"1166","C05",1995,1997,1923,0,72
"1167","C05",1988,1997,1923,0,65
"1168","C05",1986,1997,1923,0,63
"1169","C05",1984,1997,1923,0,61
"1170","C05",1996,1997,1923,0,73
"1171","C05",1993,1997,1923,0,70
"1172","C05",1980,1997,1923,0,57
"1173","C05",1989,1997,1923,0,66
"1174","C05",1981,1997,1923,0,58
"1175","C05",1983,1997,1923,0,60
"1176","C05",1982,1997,1923,0,59
"1177","C05",1992,1997,1923,0,69
"1178","C05",1987,1997,1923,0,64
"1179","C05",1994,1997,1923,0,71
"1180","C06",2006,2013,1956,0,50
"1182","C06",1989,2013,1956,0,33
"1183","C06",1991,2013,1956,1,35
"1184","C06",1987,2013,1956,0,31
"1185","C06",2004,2013,1956,0,48
"1186","C06",1985,2013,1956,1,29
"1187","C06",2008,2013,1956,0,52
"1188","C06",1988,2013,1956,0,32
"1189","C06",2011,2013,1956,0,55
"1190","C06",1997,2013,1956,0,41
"1191","C06",2005,2013,1956,0,49
"1194","C06",2007,2013,1956,0,51
"1195","C06",1993,2013,1956,0,37
"1196","C06",1983,2013,1956,0,27
"1197","C06",1982,2013,1956,0,26
"1199","C06",2001,2013,1956,0,45
"1201","C06",2010,2013,1956,0,54
"1202","C06",1995,2013,1956,0,39
"1203","C06",1999,2013,1956,0,43
"1204","C06",1994,2013,1956,0,38
"1205","C06",2009,2013,1956,0,53
"1206","C06",2002,2013,1956,0,46
"1207","C06",1998,2013,1956,0,42
"1208","C06",1996,2013,1956,0,40
"1209","C06",2003,2013,1956,0,47
"1210","C06",2000,2013,1956,0,44
"1211","C06",1981,2013,1956,0,25
"1212","C06",2012,2013,1956,0,56
"1213","C08",2011,NA,1975,0,36
"1214","C08",2012,NA,1975,0,37
"1216","C08",1999,NA,1975,0,24
"1217","C08",2006,NA,1975,0,31
"1218","C08",2000,NA,1975,0,25
"1220","C08",2017,NA,1975,0,42
"1221","C08",1994,NA,1975,1,19
"1225","C08",2010,NA,1975,0,35
"1226","C08",1997,NA,1975,1,22
"1228","C08",1986,NA,1975,0,11
"1230","C08",1984,NA,1975,0,9
"1232","C08",2003,NA,1975,0,28
"1233","C08",1989,NA,1975,1,14
"1234","C08",2007,NA,1975,0,32
"1235","C08",2008,NA,1975,0,33
"1236","C08",2009,NA,1975,0,34
"1237","C08",2014,NA,1975,1,39
"1241","C08",2001,NA,1975,0,26
"1243","C08",1985,NA,1975,0,10
"1244","C08",2005,NA,1975,0,30
"1245","C08",1983,NA,1975,0,8
"1248","C08",1987,NA,1975,0,12
"1249","C08",2016,NA,1975,0,41
"1250","C08",1991,NA,1975,1,16
"1251","C10",1987,NA,1971.5,0,15.5
"1254","C10",1985,NA,1971.5,1,13.5
"1256","C10",2012,NA,1971.5,0,40.5
"1259","C10",2006,NA,1971.5,0,34.5
"1260","C10",2009,NA,1971.5,1,37.5
"1261","C10",1982,NA,1971.5,0,10.5
"1262","C10",1998,NA,1971.5,1,26.5
"1263","C10",1991,NA,1971.5,0,19.5
"1264","C10",2015,NA,1971.5,0,43.5
"1267","C10",1980,NA,1971.5,0,8.5
"1269","C10",2016,NA,1971.5,0,44.5
"1270","C10",2017,NA,1971.5,0,45.5
"1273","C10",2011,NA,1971.5,0,39.5
"1274","C10",2001,NA,1971.5,0,29.5
"1275","C10",2004,NA,1971.5,1,32.5
"1276","C10",2002,NA,1971.5,0,30.5
"1277","C10",1996,NA,1971.5,0,24.5
"1279","C10",1981,NA,1971.5,0,9.5
"1280","C10",2014,NA,1971.5,0,42.5
"1281","C10",2007,NA,1971.5,0,35.5
"1282","C10",1993,NA,1971.5,1,21.5
"1284","C10",2000,NA,1971.5,0,28.5
"1285","C10",1995,NA,1971.5,0,23.5
"1286","C10",1989,NA,1971.5,1,17.5
"1287","C10",1983,NA,1971.5,0,11.5
"1288","C10",2013,NA,1971.5,0,41.5
"1290","C13",1993,NA,1985,0,8
"1291","C13",2017,NA,1985,0,32
"1292","C13",2011,NA,1985,0,26
"1293","C13",2009,NA,1985,0,24
"1294","C13",2003,NA,1985,0,18
"1299","C13",1996,NA,1985,0,11
"1301","C13",2013,NA,1985,1,28
"1302","C13",2016,NA,1985,0,31
"1303","C13",2004,NA,1985,0,19
"1304","C13",2007,NA,1985,1,22
"1305","C13",2015,NA,1985,0,30
"1307","C13",2002,NA,1985,0,17
"1313","C13",1998,NA,1985,0,13
"1314","C13",2010,NA,1985,0,25
"1316","C13",1997,NA,1985,0,12
"1318","C13",1995,NA,1985,0,10
"1319","C13",2000,NA,1985,1,15
"1322","C13",2005,NA,1985,0,20
"1326","C13",1994,NA,1985,0,9
"1332","C19",2006,2013,1991,0,15
"1333","C19",2004,2013,1991,0,13
"1334","C19",1999,2013,1991,0,8
"1335","C19",2009,2013,1991,1,18
"1337","C19",2011,2013,1991,0,20
"1338","C19",2012,2013,1991,0,21
"1341","C19",2003,2013,1991,0,12
"1345","C19",2005,2013,1991,0,14
"1348","C19",2002,2013,1991,0,11
"1350","C19",2007,2013,1991,0,16
"1356","C19",2001,2013,1991,0,10
"1359","C19",2000,2013,1991,0,9
"1362","C21",2003,2007,1994,0,9
"1375","C21",2006,2007,1994,1,12
"1378","C21",2002,2007,1994,0,8
"1380","C21",2004,2007,1994,0,10
"1389","C23",2015,NA,1998,1,17
"1394","C23",2017,NA,1998,0,19
"1399","C23",2009,NA,1998,1,11
"1404","C23",2012,NA,1998,0,14
"1405","C23",2006,NA,1998,0,8
"1409","C23",2007,NA,1998,0,9
"1416","C23",2013,NA,1998,0,15
"1420","C23",2011,NA,1998,0,13
"1441","C26",2012,NA,2004,0,8
"1450","C26",2016,NA,2004,0,12
"1453","C26",2017,NA,2004,0,13
"1462","C26",2014,NA,2004,1,10
"1463","D03",1982,1991,1938,0,44
"1464","D03",1986,1991,1938,0,48
"1465","D03",1985,1991,1938,0,47
"1466","D03",1988,1991,1938,0,50
"1467","D03",1984,1991,1938,0,46
"1468","D03",1981,1991,1938,0,43
"1469","D03",1980,1991,1938,0,42
"1470","D03",1983,1991,1938,0,45
"1471","D03",1989,1991,1938,0,51
"1472","D03",1990,1991,1938,0,52
"1473","D03",1987,1991,1938,0,49
"1474","D07",1995,2000,1943,0,52
"1475","D07",1988,2000,1943,0,45
"1476","D07",1994,2000,1943,0,51
"1477","D07",1998,2000,1943,0,55
"1478","D07",1997,2000,1943,0,54
"1480","D07",1990,2000,1943,0,47
"1481","D07",1986,2000,1943,0,43
"1482","D07",1989,2000,1943,0,46
"1483","D07",1992,2000,1943,0,49
"1485","D07",1980,2000,1943,0,37
"1486","D07",1982,2000,1943,0,39
"1487","D07",1981,2000,1943,0,38
"1488","D07",1991,2000,1943,0,48
"1489","D07",1987,2000,1943,0,44
"1490","D07",1984,2000,1943,1,41
"1491","D07",1993,2000,1943,0,50
"1492","D07",1999,2000,1943,0,56
"1493","D07",1996,2000,1943,0,53
"1494","D08",2000,2006,1968,0,32
"1495","D08",1985,2006,1968,0,17
"1496","D08",1998,2006,1968,0,30
"1499","D08",1999,2006,1968,0,31
"1500","D08",2002,2006,1968,0,34
"1501","D08",1987,2006,1968,1,19
"1502","D08",2004,2006,1968,0,36
"1503","D08",1991,2006,1968,0,23
"1504","D08",1989,2006,1968,0,21
"1505","D08",1993,2006,1968,0,25
"1506","D08",2003,2006,1968,0,35
"1508","D08",1984,2006,1968,0,16
"1510","D08",1995,2006,1968,1,27
"1511","D08",2005,2006,1968,0,37
"1512","D08",2001,2006,1968,0,33
"1513","D08",1990,2006,1968,0,22
"1514","D08",1980,2006,1968,0,12
"1515","D08",1982,2006,1968,1,14
"1517","D08",1997,2006,1968,0,29
"1518","D08",1992,2006,1968,0,24
"1520","D09",2012,NA,1971.5,0,40.5
"1521","D09",2005,NA,1971.5,0,33.5
"1522","D09",2002,NA,1971.5,0,30.5
"1523","D09",1993,NA,1971.5,0,21.5
"1524","D09",1997,NA,1971.5,0,25.5
"1525","D09",2008,NA,1971.5,0,36.5
"1526","D09",2015,NA,1971.5,0,43.5
"1527","D09",1994,NA,1971.5,0,22.5
