Year,Indicator,Value
2013,CCHerringR_Med,160.211
2014,CCHerringR_Med,462.612
2015,CCHerringR_Med,154.0995
2016,CCHerringR_Med,174.1815
2017,CCHerringR_Med,230.614
2018,CCHerringR_Med,1045.035
2019,CCHerringR_Med,91.7257
2020,CCHerringR_Med,431.4055
1951,CCHerringR_LowerCI,159.1828
1952,CCHerringR_LowerCI,164.1584
1953,CCHerringR_LowerCI,715.5998
1954,CCHerringR_LowerCI,125.14215
1955,CCHerringR_LowerCI,144.2365
1956,CCHerringR_LowerCI,255.81735
1957,CCHerringR_LowerCI,273.1788
1958,CCHerringR_LowerCI,409.30635
1959,CCHerringR_LowerCI,104.7556
1960,CCHerringR_LowerCI,282.30255
1961,CCHerringR_LowerCI,449.4058
1962,CCHerringR_LowerCI,350.9139
1963,CCHerringR_LowerCI,317.6489
1964,CCHerringR_LowerCI,175.32785
1965,CCHerringR_LowerCI,75.09716
1966,CCHerringR_LowerCI,810.5308
1967,CCHerringR_LowerCI,46.09312
1968,CCHerringR_LowerCI,80.670705
1969,CCHerringR_LowerCI,221.03675
1970,CCHerringR_LowerCI,224.54635
1971,CCHerringR_LowerCI,215.18285
1972,CCHerringR_LowerCI,253.62355
1973,CCHerringR_LowerCI,210.0828
1974,CCHerringR_LowerCI,235.78015
1975,CCHerringR_LowerCI,115.1479
1976,CCHerringR_LowerCI,91.8318
1977,CCHerringR_LowerCI,114.925
1978,CCHerringR_LowerCI,95.112115
1979,CCHerringR_LowerCI,915.36525
1980,CCHerringR_LowerCI,295.1061
1981,CCHerringR_LowerCI,278.29895
1982,CCHerringR_LowerCI,120.33625
1983,CCHerringR_LowerCI,100.93765
1984,CCHerringR_LowerCI,288.8706
1985,CCHerringR_LowerCI,145.0587
1986,CCHerringR_LowerCI,208.3427
1987,CCHerringR_LowerCI,751.22245
1988,CCHerringR_LowerCI,91.34752
1989,CCHerringR_LowerCI,54.22275
1990,CCHerringR_LowerCI,146.3023
1991,CCHerringR_LowerCI,512.745
1992,CCHerringR_LowerCI,105.8517
1993,CCHerringR_LowerCI,129.18135
1994,CCHerringR_LowerCI,35.108205
1995,CCHerringR_LowerCI,94.848515
1996,CCHerringR_LowerCI,349.21835
1997,CCHerringR_LowerCI,347.8136
1998,CCHerringR_LowerCI,94.640115
1999,CCHerringR_LowerCI,166.6745
2000,CCHerringR_LowerCI,73.573545
2001,CCHerringR_LowerCI,164.08395
2002,CCHerringR_LowerCI,366.29215
2003,CCHerringR_LowerCI,132.6766
2004,CCHerringR_LowerCI,310.78135
2005,CCHerringR_LowerCI,105.2222
2006,CCHerringR_LowerCI,172.47185
2007,CCHerringR_LowerCI,79.19748
2008,CCHerringR_LowerCI,399.52385
2009,CCHerringR_LowerCI,142.02115
2010,CCHerringR_LowerCI,295.6056
2011,CCHerringR_LowerCI,97.27375
2012,CCHerringR_LowerCI,293.85555
2013,CCHerringR_LowerCI,120.39225
2014,CCHerringR_LowerCI,347.6322
2015,CCHerringR_LowerCI,114.31625
2016,CCHerringR_LowerCI,129.8208
2017,CCHerringR_LowerCI,171.3014
2018,CCHerringR_LowerCI,759.8604
2019,CCHerringR_LowerCI,58.14989
2020,CCHerringR_LowerCI,263.5149
1951,CCHerringR_UpperCI,520.83555
1952,CCHerringR_UpperCI,496.0298
1953,CCHerringR_UpperCI,1749.8265
1954,CCHerringR_UpperCI,304.5339
1955,CCHerringR_UpperCI,337.78565
1956,CCHerringR_UpperCI,516.7221
1957,CCHerringR_UpperCI,542.14615
1958,CCHerringR_UpperCI,776.4594
1959,CCHerringR_UpperCI,223.8041
1960,CCHerringR_UpperCI,586.67295
1961,CCHerringR_UpperCI,907.93575
1962,CCHerringR_UpperCI,728.397
1963,CCHerringR_UpperCI,746.1382
1964,CCHerringR_UpperCI,469.7305
1965,CCHerringR_UpperCI,313.5863
1966,CCHerringR_UpperCI,2069.972
1967,CCHerringR_UpperCI,383.1821
1968,CCHerringR_UpperCI,271.9596
1969,CCHerringR_UpperCI,570.1208
1970,CCHerringR_UpperCI,466.42695
1971,CCHerringR_UpperCI,421.52985
1972,CCHerringR_UpperCI,479.2858
1973,CCHerringR_UpperCI,398.88545
1974,CCHerringR_UpperCI,422.2436
1975,CCHerringR_UpperCI,223.5162
1976,CCHerringR_UpperCI,180.7094
1977,CCHerringR_UpperCI,251.7275
1978,CCHerringR_UpperCI,205.99675
1979,CCHerringR_UpperCI,1841.3435
1980,CCHerringR_UpperCI,576.21545
1981,CCHerringR_UpperCI,546.52475
1982,CCHerringR_UpperCI,248.74615
1983,CCHerringR_UpperCI,220.57725
1984,CCHerringR_UpperCI,617.48165
1985,CCHerringR_UpperCI,298.4819
1986,CCHerringR_UpperCI,410.65115
1987,CCHerringR_UpperCI,1369.0685
1988,CCHerringR_UpperCI,170.6924
1989,CCHerringR_UpperCI,101.6127
1990,CCHerringR_UpperCI,265.13745
1991,CCHerringR_UpperCI,863.8143
1992,CCHerringR_UpperCI,180.74805
1993,CCHerringR_UpperCI,217.5523
1994,CCHerringR_UpperCI,63.37713
1995,CCHerringR_UpperCI,169.8732
1996,CCHerringR_UpperCI,599.6811
1997,CCHerringR_UpperCI,601.4448
1998,CCHerringR_UpperCI,168.84045
1999,CCHerringR_UpperCI,292.08465
2000,CCHerringR_UpperCI,134.82255
2001,CCHerringR_UpperCI,297.0713
2002,CCHerringR_UpperCI,666.96925
2003,CCHerringR_UpperCI,259.54055
2004,CCHerringR_UpperCI,591.08355
2005,CCHerringR_UpperCI,209.19545
2006,CCHerringR_UpperCI,333.33785
2007,CCHerringR_UpperCI,156.72885
2008,CCHerringR_UpperCI,713.35145
2009,CCHerringR_UpperCI,253.1904
2010,CCHerringR_UpperCI,521.72955
2011,CCHerringR_UpperCI,166.59375
