"","year","stock","stock_name","smolt","run","region","lat","long","agg_reg","group","survival","M"
"642","2001","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.004052635,5.50838799213941
"643","2002","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.01931239,3.94700842013327
"644","2003","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.01230881,4.39744001283305
"645","2004","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.01581495,4.14679958378501
"646","2005","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.02584371,3.65568803452237
"647","2006","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.00819445,4.80429818313256
"648","2007","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.0180062,4.0170391359489
"649","2008","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.006884183,4.97852881760442
"650","2009","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.01608666,4.12976492187533
"651","2010","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.005592134,5.18639431153373
"652","2011","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.006263242,5.07305733655578
"653","2012","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.003593607,5.62859884551466
"654","2013","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.01197326,4.42507944895661
"655","2014","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.03309746,3.40829873670369
"656","2015","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.03560842,3.33517315223592
"657","2016","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",0.04298055,3.14700759120004
"658","2017","GRN","Green River","oceantype","fall","SPGSD",47.280136,-122.094613,"SS","SS_oceantype",NA,NA
"659","1971","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"660","1972","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"661","1973","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"662","1974","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"663","1975","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"664","1976","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"665","1977","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"666","1978","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"667","1979","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"668","1980","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"669","1981","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"670","1982","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"671","1983","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"672","1984","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"673","1985","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",NA,NA
"674","1986","HAN","Hanford Wild Brights","oceantype","fall","UCOLR",46.215,-123.862,"south","south_oceantype",0.007902716,4.84054878112561
