,AKB,AKS,ATN,ATS,BQR,CHI,CHK,COW,CWF,DOM,ELK,ELW,GAD,GRN,HAN,HAR,KLM,KLY,LRH,LRW,LYF,LYY,MSH,NAN,NIC,NIS,NKS,NSA,NSF,PHI,PPS,QUE,QUI,RBT,SAM,SHU,SKF,SKS,SKY,SOO,SPR,SPS,SPY,SQP,SRH,SSA,SSF,STI,STL,SUM,TAK,TST,UNU,URB,UWA,WRY,WSH
Brood_Year,Alaska Hatchery Springs - Behm Canal,Alaska Spring,Atnarko River,Atnarko Yearling,Big Qualicum River Fall,Chilliwack River Fall,Chilkat River,Cowichan River Fall,Cowlitz Fall Tule,Dome Creek Spring,Elk River,Elwha River,George Adams Fall Fingerling,Green River,Hanford Wild Brights,Harrison River,Kitsumkalum River Summer,Kitsumkalum Yearling,Lower River Hatchery Tule,Lewis River Wild,Lyons Ferry Fingerling,Lyons Ferry Yearling,Middle Shuswap River Summer,Nanaimo River Fall,Nicola River Spring,Nisqually Fall Fingerling,Nooksack Spring Yearling,NE Alaska Spring,Nooksack Spring Fingerling,Phillips River Fall,Puntledge River Summer,Queets Fall Fingerling,Quinsam River Fall,Robertson Creek Fall,Samish Fall Fingerling,Lower Shuswap River Summer,Skagit Spring Fingerling,Skagit Spring Yearling,Skykomish Fall Fingerling,Sooes Fall Fingerling,Spring Creek Tule,South Puget Sound Fall Fingerling,South Puget Sound Fall Yearling,Squaxin Pens Fall Yearling,Salmon River,SE Alaska Spring,Skagit Summer Fingerling,Stikine River,Stillaguamish Fall Fingerling,Columbia River Summer,Taku River,Transboundary Rivers,Unuk River,Columbia River Upriver Bright,University of Washington Accelerated,White River Spring Yearling,Willamette Spring
2000,0.1181921,0.09174093,0.01356266,NA,0.002697908,0.1553028,0.06253111,0.004669627,0.001690969,0.003137681,0.06494015,NA,0.01330483,0.01019491,0.003348948,0.01435001,0.003107573,0.09768637,0.0338005,0.01454654,NA,0.06165897,NA,0.01785025,0.008246648,0.02849068,NA,0.04086613,0.005364225,NA,0.006632225,0.04028621,0.009029421,0.04088811,0.006058285,0.03779724,0.007275395,0.05179011,0.009258178,0.05117008,0.03384406,0.01554401,0.00119761,NA,0.09284793,0.1161542,0.008843826,0.05788394,NA,0.0387989,0.1529666,0.1050859,0.05860772,0.004852445,NA,NA,0.02288286
2001,0.05784899,0.09635742,0.03348098,NA,0.006746635,0.1321489,0.03611373,0.005766102,0.003998704,0.004025349,0.03072275,NA,0.01410594,0.004052635,0.007927575,0.02407369,0.00407454,0.05864541,0.009475071,0.01037516,0.01333074,0.06063179,NA,0.0177904,0.01356663,0.009495748,NA,0.0215405,0.01760603,NA,0.005319953,0.04968189,0.01219187,0.06816891,0.009810955,0.02393892,0.009346724,0.03797305,0.006525344,NA,0.04000222,0.01019225,NA,NA,0.05218582,0.1120402,0.01714302,0.01600216,NA,0.02285369,0.06499198,0.03569709,0.02248912,0.0190194,NA,NA,0.007227453
2002,0.06902336,0.08484147,0.01815609,NA,0.005413117,0.09422341,0.01630302,0.003320767,0.001396252,0.003548652,0.03120961,NA,0.02215355,0.01931239,0.006574643,0.008603918,0.004287435,0.09521864,0.002137022,0.006732291,0.005641046,0.01872131,NA,0.008790699,0.01274049,0.02470476,NA,0.04160955,0.005806195,NA,0.009984213,0.01004927,0.008814131,0.0284734,0.01177367,0.04322105,0.01674287,0.04754129,0.008016127,0.03055553,0.007610829,0.02157923,0.01667784,NA,0.02727785,0.09354877,0.01630153,0.07093752,0.01370181,0.01754383,0.03770792,0.05513597,0.04534326,0.005947686,NA,0.05684919,0.01128321
2003,0.08327211,0.1051811,NA,NA,0.01302255,0.1059372,0.03779306,0.004630309,0.001570771,NA,0.02140342,NA,0.01666389,0.01230881,0.003432372,0.01371309,0.009762638,0.09009965,0.000950562,0.001886955,0.004784593,0.05452191,NA,NA,0.002185634,0.04292886,NA,0.02608514,0.007829746,NA,0.009279306,0.01070223,0.01012626,0.04991017,0.02762637,0.008725886,0.01841738,0.01870076,0.01164672,0.02443725,0.004486028,0.02253838,0.000715116,NA,0.006345427,0.1222849,0.01755963,0.03297823,0.006734065,0.01016331,0.07034823,0.05400856,0.0266969,0.002499899,NA,0.008131225,0.005108396
2004,0.09654584,0.06858213,NA,NA,0.001582179,0.01847527,0.03178973,NA,0.001065852,NA,0.07070658,NA,0.008221922,0.01581495,0.003018749,NA,0.005038859,0.07146927,0.001146232,0.001428342,0.002980178,0.05635173,NA,0.03090431,0.01965469,0.02834304,NA,0.01396698,0.006788694,NA,0.003217972,0.02481734,0.005923682,0.006276736,0.0108557,0.008536063,0.02662849,0.04772919,0.01936227,0.07240824,0.001680431,0.02284769,0.01176401,NA,0.04665725,0.0846546,0.01640685,0.01436,0.01174343,0.01948072,0.02151166,0.01754534,0.0235808,0.000810684,NA,0.02569315,0.009045164
2005,0.104515,0.06023446,0.02236388,NA,0.007436627,0.1372435,0.04991196,0.004538012,0.004363895,NA,0.02511407,NA,0.02248565,0.02584371,0.006592075,0.06803599,0.01454609,NA,0.006006909,0.004381162,0.05348094,0.0369094,NA,NA,0.004145419,0.02395225,NA,0.01552175,0.01877359,NA,0.009816779,0.03460897,0.00860674,0.02996648,0.03610537,0.03522189,0.009058012,0.01185239,0.004321306,0.01906572,0.01802801,0.027236,0.002640017,NA,0.03100353,0.06934244,0.01212901,0.02357992,0.02234962,0.01760051,0.05862763,0.03399069,0.04202083,0.02695971,NA,0.006222634,0.01048705
2006,0.08760381,0.04518467,0.01097301,NA,0.00742847,0.02306726,0.02236864,0.003499842,0.006583437,NA,0.1668825,NA,0.01023718,0.00819445,0.005754129,0.00746149,0.008507851,0.04331518,0.004973674,0.003039738,0.006555092,0.1470347,NA,NA,0.03869869,0.01320216,NA,0.01017317,0.007979994,NA,0.005285954,0.02920355,0.001592145,0.007819246,0.006932584,0.0280529,0.0114508,0.01519285,0.005176196,0.06737733,0.004283175,0.01317091,0.002618201,NA,0.03313442,0.05139874,0.007685492,0.02401843,0.004183253,0.03430979,0.03435032,0.02768414,0.01420498,0.001361847,NA,0.01384793,0.0290752
2007,0.06030226,0.02998676,0.01599604,0.007678406,0.005321075,0.2229284,0.04452529,0.00680383,0.02144856,NA,0.06464701,NA,0.0385513,0.0180062,0.02723676,0.0574197,0.005586891,0.03629913,0.01893369,0.009123879,0.07884181,0.06003894,NA,NA,0.01135677,0.03456777,NA,0.01728705,0.0146653,NA,0.008047336,0.04710915,0.006670543,0.04540828,0.03194809,0.02178805,0.02104834,0.02176614,0.005875831,0.02464869,0.0270271,0.02836082,0.004503345,NA,0.07233409,0.03199604,0.01053155,0.05763971,0.01898768,0.01202435,0.05242194,0.0561945,0.01882117,0.02729047,NA,0.004309734,0.02216563
2008,0.0459471,0.04548427,0.008011863,0.08792903,0.005571424,0.1153754,0.01966197,0.009143369,0.008034551,NA,0.05413096,NA,0.01046132,0.006884183,0.008990255,0.01985014,0.003291688,0.0282581,0.007073969,0.006901184,0.01098998,0.05221866,0.00485772,NA,0.01258817,0.01141956,NA,0.01721589,0.005848402,NA,0.007350187,0.03882515,0.009337786,0.01065692,0.01046165,0.01050441,0.01785451,0.04130399,0.01454729,0.09274719,0.01527544,0.008346235,0.01165416,NA,0.07713848,0.05081951,0.01095041,0.03002902,0.01826729,0.02604409,0.02685096,0.02858082,0.01282251,0.009554173,NA,0.01350013,0.01383066
2009,0.05144046,0.03284445,0.02167786,0.04490658,0.004233459,0.06254705,0.02129225,0.01602531,0.007654177,NA,0.107161,NA,0.04971646,0.01608666,0.02606903,0.01033716,0.002464166,0.01264938,0.01104229,0.004174965,0.04343372,0.05468661,0.008486655,NA,0.01877892,0.0298364,NA,0.02734343,0.008207651,0.09788447,0.002241672,0.02497599,0.003208847,0.003527972,0.02761315,0.01346264,0.01471632,0.01401639,0.01204083,0.04185374,0.0170734,0.02721777,NA,NA,0.1599571,0.03385161,0.004878595,0.04309554,0.00709898,0.02671514,0.06626856,0.05135962,0.01953342,0.0386355,NA,0.005633937,0.007769377
2010,0.08805041,0.06062412,0.03509884,0.0691922,0.003958723,0.1931734,0.0269565,0.01966705,0.01241207,NA,0.03786344,NA,0.01817099,0.005592134,0.05811077,0.04702488,0.003696443,0.06157738,0.003316984,0.01025476,0.05347326,0.07652959,0.0437054,NA,0.004865621,0.01927094,NA,0.02462367,0.0154125,0.05004124,0.004646088,0.05322398,0.002972241,0.01851313,0.01553352,0.05595031,0.01193651,0.02662859,0.00478607,0.05864011,0.0153146,0.009740809,0.001189019,NA,0.1673866,0.06587888,0.004295478,0.05357488,0.006465166,0.0223986,0.05347942,0.05355121,0.03226097,0.080312,NA,0.005491927,0.01379239
2011,0.06009781,0.03764956,0.06110099,0.06570591,0.01574807,0.1575804,0.01445151,0.01665694,0.002346349,NA,0.02918818,NA,0.01367022,0.006263242,0.02057371,0.03503051,0.01574156,0.04518158,0.0120782,0.003585867,0.0210715,0.0579192,0.04187345,NA,0.01838728,0.01505194,NA,0.02005398,0.01752238,0.04767445,0.009370948,0.02307032,0.004502519,0.002387729,0.02974982,0.02548553,0.01432452,NA,0.005909381,0.1165901,0.02906724,0.01937992,0.000790567,NA,0.1242537,0.04167971,0.01212003,0.04703376,0.01421259,0.05580604,0.03152114,0.04192327,0.02588797,0.03341266,NA,0.006501146,0.0223289
2012,0.01856048,0.03194301,0.03380836,NA,0.01002031,0.08473168,0.0194503,0.008792258,0.005882735,NA,0.08456038,0.004794343,0.009203829,0.003593607,0.03749626,0.007042313,0.004180745,0.02925291,0.01304318,0.005007589,0.03656562,0.03467711,0.0125606,NA,0.01164314,0.006041285,NA,0.01833171,0.02662935,0.04050243,0.006034143,0.02915431,0.01297249,0.04831526,0.005555877,0.01695132,0.01125987,NA,0.009009686,0.08452973,0.04369729,0.007444079,6.61E-05,NA,0.1867895,0.03462414,0.008745137,0.02401773,0.00512629,0.03720972,0.03189972,0.02689211,0.01052398,0.04219325,NA,0.008238764,0.009897422
2013,0.05369323,0.0351779,0.009460457,NA,0.006594714,0.04465415,0.02388169,0.006484047,0.001327499,NA,0.01512654,9.99E-05,0.02545565,0.01197326,0.008420555,0.01869253,0.005625704,0.07417142,0.002989466,0.002559754,0.01424016,0.02888685,0.007881277,NA,0.01480254,0.01633423,NA,0.01702714,0.01138193,0.02414288,0.01244013,0.01497593,0.01594998,0.03054597,0.00381981,0.01569603,0.01553026,NA,0.02946603,0.03006234,0.007416269,0.01485834,0.000238666,NA,0.05756791,0.04525108,0.0120547,0.008305404,0.007354782,0.02483511,0.01233905,0.01040774,0.03971798,0.01915935,NA,0.006616132,0.01282635
2014,0.03401945,0.03115051,0.01561414,NA,0.01157328,0.07593661,0.03295395,0.01279438,0.001036631,NA,0.0165356,0.006513123,0.04100585,0.03309746,0.0017464,0.02364826,0.002234259,0.02818107,0.007283824,0.01356364,0.01799009,0.03929112,0.02694711,NA,0.01382344,0.04253526,NA,0.01924897,0.03577719,0.01004606,0.009069376,0.02216922,0.01139311,0.0302037,0.01947958,0.02801341,0.02539846,NA,0.008201994,0.06189878,0.01632593,0.03067584,NA,NA,0.01618743,0.0359509,0.01946736,0.006277062,0.01465144,0.02139451,0.01720112,0.01201511,0.07169784,0.004617608,NA,0.007147578,0.01646242
2015,0.02082945,0.0204845,0.02232284,NA,0.004388489,0.07176221,0.023557,0.01277913,0.000486941,NA,0.0167437,0.2569028,0.03613467,0.03560842,0.002209416,0.02761228,0.01750474,0.01586804,0.008442167,0.03634217,0.004835757,0.01039739,0.00985391,NA,0.01881454,0.02706063,NA,0.01175176,0.02908983,0.02114217,0.00870031,0.02862027,0.01628141,0.07215337,0.01606708,0.01212721,0.01929042,NA,0.01291987,0.002862857,0.01198328,0.02050401,NA,NA,0.002153846,0.02199105,0.01937117,NA,0.02233027,0.005897372,0.04007753,0.02682513,0.02415511,0.008903993,NA,0.003937099,0.001799898
2016,0.000146877,0.001660389,0.01678764,NA,0.01159084,0.201102,NA,0.009551868,0.000675459,NA,0.03237864,0.02174353,0.005676227,0.04298055,0.008906162,0.05150217,NA,NA,0.00238601,0.006653603,0.008708224,NA,0.04078252,NA,0.01893811,0.04335906,NA,0.000100493,0.0357714,0.258772,0.01017149,NA,0.01730808,0.06168044,0.01166156,0.06519993,0.006527657,NA,0.02273365,NA,0.02000499,0.003035631,NA,NA,0.03198883,0.002011502,0.001245306,NA,0.04694652,NA,NA,NA,NA,0.00503613,NA,NA,NA
2017,NA,NA,NA,NA,0.009706665,0.0878559,NA,0.001108902,NA,NA,NA,NA,NA,NA,NA,0.003190629,NA,NA,NA,NA,NA,NA,0.1406994,NA,NA,NA,NA,NA,NA,5.69E-05,0.004237579,NA,0.02197542,0.04889703,NA,0.1339758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
