"year","stock","juv_group3b","escapement"
1991,"king_salmon","north_streamtype",0.134
1992,"king_salmon","north_streamtype",0.099
1993,"king_salmon","north_streamtype",0.266
1994,"king_salmon","north_streamtype",0.213
1995,"king_salmon","north_streamtype",0.147
1996,"king_salmon","north_streamtype",0.292
1997,"king_salmon","north_streamtype",0.362
1998,"king_salmon","north_streamtype",0.134
1999,"king_salmon","north_streamtype",0.304
2000,"king_salmon","north_streamtype",0.138
2001,"king_salmon","north_streamtype",0.149
2002,"king_salmon","north_streamtype",0.155
2003,"king_salmon","north_streamtype",0.119
2004,"king_salmon","north_streamtype",0.135
2005,"king_salmon","north_streamtype",0.143
2006,"king_salmon","north_streamtype",0.15
2007,"king_salmon","north_streamtype",0.181
2008,"king_salmon","north_streamtype",0.12
2009,"king_salmon","north_streamtype",0.109
2010,"king_salmon","north_streamtype",0.158
2011,"king_salmon","north_streamtype",0.192
2012,"king_salmon","north_streamtype",0.155
2013,"king_salmon","north_streamtype",0.094
2014,"king_salmon","north_streamtype",0.094
2015,"king_salmon","north_streamtype",0.094
2016,"king_salmon","north_streamtype",0.094
2017,"king_salmon","north_streamtype",0.094
2018,"king_salmon","north_streamtype",NA
1975,"andrew_creek","north_streamtype",0.507
1976,"andrew_creek","north_streamtype",0.404
1977,"andrew_creek","north_streamtype",0.456
1978,"andrew_creek","north_streamtype",0.388
1979,"andrew_creek","north_streamtype",0.327
1980,"andrew_creek","north_streamtype",0.282
1981,"andrew_creek","north_streamtype",0.536
1982,"andrew_creek","north_streamtype",0.672
1983,"andrew_creek","north_streamtype",0.366
1984,"andrew_creek","north_streamtype",0.389
1985,"andrew_creek","north_streamtype",0.624
1986,"andrew_creek","north_streamtype",1.381
1987,"andrew_creek","north_streamtype",1.537
1988,"andrew_creek","north_streamtype",1.1
1989,"andrew_creek","north_streamtype",1.034
1990,"andrew_creek","north_streamtype",1.295
1991,"andrew_creek","north_streamtype",0.78
1992,"andrew_creek","north_streamtype",1.517
1993,"andrew_creek","north_streamtype",2.067
1994,"andrew_creek","north_streamtype",1.115
1995,"andrew_creek","north_streamtype",0.669
1996,"andrew_creek","north_streamtype",0.653
1997,"andrew_creek","north_streamtype",0.571
1998,"andrew_creek","north_streamtype",0.95
1999,"andrew_creek","north_streamtype",1.18
2000,"andrew_creek","north_streamtype",1.346
2001,"andrew_creek","north_streamtype",2.055
2002,"andrew_creek","north_streamtype",1.708
2003,"andrew_creek","north_streamtype",1.16
2004,"andrew_creek","north_streamtype",2.991
2005,"andrew_creek","north_streamtype",1.979
2006,"andrew_creek","north_streamtype",2.124
2007,"andrew_creek","north_streamtype",1.736
2008,"andrew_creek","north_streamtype",0.981
2009,"andrew_creek","north_streamtype",0.628
2010,"andrew_creek","north_streamtype",1.205
2011,"andrew_creek","north_streamtype",0.936
2012,"andrew_creek","north_streamtype",0.587
2013,"andrew_creek","north_streamtype",0.92
2014,"andrew_creek","north_streamtype",0.92
2015,"andrew_creek","north_streamtype",0.92
2016,"andrew_creek","north_streamtype",0.92
2017,"andrew_creek","north_streamtype",0.92
2018,"andrew_creek","north_streamtype",NA
1975,"unuk","north_streamtype",NA
1976,"unuk","north_streamtype",NA
1977,"unuk","north_streamtype",4.706
1978,"unuk","north_streamtype",5.344
1979,"unuk","north_streamtype",2.783
1980,"unuk","north_streamtype",4.909
1981,"unuk","north_streamtype",3.532
1982,"unuk","north_streamtype",6.528
1983,"unuk","north_streamtype",5.436
1984,"unuk","north_streamtype",8.876
1985,"unuk","north_streamtype",5.721
1986,"unuk","north_streamtype",10.273
1987,"unuk","north_streamtype",9.533
1988,"unuk","north_streamtype",8.437
1989,"unuk","north_streamtype",5.552
1990,"unuk","north_streamtype",2.856
1991,"unuk","north_streamtype",3.165
1992,"unuk","north_streamtype",4.223
1993,"unuk","north_streamtype",5.16
1994,"unuk","north_streamtype",3.435
1995,"unuk","north_streamtype",3.73
1996,"unuk","north_streamtype",5.639
1997,"unuk","north_streamtype",2.97
1998,"unuk","north_streamtype",4.132
1999,"unuk","north_streamtype",3.914
2000,"unuk","north_streamtype",5.872
2001,"unuk","north_streamtype",10.541
2002,"unuk","north_streamtype",6.988
2003,"unuk","north_streamtype",5.546
2004,"unuk","north_streamtype",3.963
2005,"unuk","north_streamtype",4.742
2006,"unuk","north_streamtype",5.645
2007,"unuk","north_streamtype",5.668
2008,"unuk","north_streamtype",3.104
2009,"unuk","north_streamtype",3.157
2010,"unuk","north_streamtype",3.835
2011,"unuk","north_streamtype",3.195
2012,"unuk","north_streamtype",0.956
2013,"unuk","north_streamtype",1.135
2014,"unuk","north_streamtype",1.691
2015,"unuk","north_streamtype",2.623
2016,"unuk","north_streamtype",1.463
2017,"unuk","north_streamtype",1.203
2018,"unuk","north_streamtype",1.971
1975,"chickamin","north_streamtype",1.758
1976,"chickamin","north_streamtype",0.746
1977,"chickamin","north_streamtype",1.724
1978,"chickamin","north_streamtype",1.463
1979,"chickamin","north_streamtype",1.135
1980,"chickamin","north_streamtype",2.114
1981,"chickamin","north_streamtype",1.824
1982,"chickamin","north_streamtype",2.712
1983,"chickamin","north_streamtype",2.845
1984,"chickamin","north_streamtype",5.235
1985,"chickamin","north_streamtype",4.541
1986,"chickamin","north_streamtype",8.289
1987,"chickamin","north_streamtype",4.631
1988,"chickamin","north_streamtype",3.734
1989,"chickamin","north_streamtype",4.437
1990,"chickamin","north_streamtype",2.679
1991,"chickamin","north_streamtype",2.313
1992,"chickamin","north_streamtype",1.644
1993,"chickamin","north_streamtype",1.848
1994,"chickamin","north_streamtype",1.843
1995,"chickamin","north_streamtype",2.309
1996,"chickamin","north_streamtype",1.587
1997,"chickamin","north_streamtype",1.292
1998,"chickamin","north_streamtype",1.857
1999,"chickamin","north_streamtype",2.38
2000,"chickamin","north_streamtype",3.805
2001,"chickamin","north_streamtype",5.177
2002,"chickamin","north_streamtype",5.007
2003,"chickamin","north_streamtype",4.579
2004,"chickamin","north_streamtype",4.268
2005,"chickamin","north_streamtype",4.257
2006,"chickamin","north_streamtype",6.318
2007,"chickamin","north_streamtype",4.242
2008,"chickamin","north_streamtype",5.277
2009,"chickamin","north_streamtype",2.902
2010,"chickamin","north_streamtype",5.491
2011,"chickamin","north_streamtype",4.052
2012,"chickamin","north_streamtype",2.109
2013,"chickamin","north_streamtype",2.223
2014,"chickamin","north_streamtype",3.097
2015,"chickamin","north_streamtype",2.76
2016,"chickamin","north_streamtype",0.964
2017,"chickamin","north_streamtype",0.722
2018,"chickamin","north_streamtype",2.052
1975,"blossom","north_streamtype",0.565
1976,"blossom","north_streamtype",0.263
1977,"blossom","north_streamtype",0.433
1978,"blossom","north_streamtype",0.553
1979,"blossom","north_streamtype",0.209
1980,"blossom","north_streamtype",0.344
1981,"blossom","north_streamtype",0.615
1982,"blossom","north_streamtype",1.335
1983,"blossom","north_streamtype",2.279
1984,"blossom","north_streamtype",1.966
1985,"blossom","north_streamtype",2.744
1986,"blossom","north_streamtype",4.946
1987,"blossom","north_streamtype",5.221
1988,"blossom","north_streamtype",1.486
1989,"blossom","north_streamtype",1.331
1990,"blossom","north_streamtype",0.995
1991,"blossom","north_streamtype",0.925
1992,"blossom","north_streamtype",0.581
1993,"blossom","north_streamtype",1.173
1994,"blossom","north_streamtype",0.623
1995,"blossom","north_streamtype",0.84
1996,"blossom","north_streamtype",0.851
1997,"blossom","north_streamtype",0.511
1998,"blossom","north_streamtype",0.364
1999,"blossom","north_streamtype",0.968
2000,"blossom","north_streamtype",0.914
2001,"blossom","north_streamtype",0.789
2002,"blossom","north_streamtype",0.867
2003,"blossom","north_streamtype",0.786
2004,"blossom","north_streamtype",0.734
2005,"blossom","north_streamtype",0.926
2006,"blossom","north_streamtype",1.27
2007,"blossom","north_streamtype",0.522
2008,"blossom","north_streamtype",0.995
2009,"blossom","north_streamtype",0.476
2010,"blossom","north_streamtype",1.405
2011,"blossom","north_streamtype",0.569
2012,"blossom","north_streamtype",0.793
2013,"blossom","north_streamtype",0.987
2014,"blossom","north_streamtype",0.987
2015,"blossom","north_streamtype",0.987
2016,"blossom","north_streamtype",0.987
2017,"blossom","north_streamtype",0.987
2018,"blossom","north_streamtype",NA
1975,"keta","north_streamtype",0.611
1976,"keta","north_streamtype",0.253
1977,"keta","north_streamtype",0.692
1978,"keta","north_streamtype",1.18
1979,"keta","north_streamtype",1.282
1980,"keta","north_streamtype",0.578
1981,"keta","north_streamtype",0.99
1982,"keta","north_streamtype",2.27
1983,"keta","north_streamtype",2.474
1984,"keta","north_streamtype",1.836
1985,"keta","north_streamtype",1.878
1986,"keta","north_streamtype",2.077
1987,"keta","north_streamtype",2.312
1988,"keta","north_streamtype",1.731
1989,"keta","north_streamtype",3.477
1990,"keta","north_streamtype",1.824
