OEY,KLM,KLY,ATN,ATS,RBT,PPS,QUI,BQR,COW,NAN,CHI,HAR,DOM,NIC,SHU,MSH,PHI,STI,TAK,CHK,UNU,AKS,NKS,NSF,SKF,SKS,SSF,STL,UWA,NIS,SAM,SKY,SPS,SPY,SQP,WRY,ELW,HOK,QUE,SOO,CWF,LRH,LRW,SPR,WSH,HAN,LYF,LYY,SUM,URB,ELK,SRH,GAD
1990,0.004,,0.0274,,0.0987,0.0068,0.0023,0.0069,0.0637,0.049,0.2141,0.0721,0.0197,0.0155,0.0101,,,,NA,,NA,0.0439,0.0121,0.0029,NA,NA,,0.0352,,,0.0074,,0.0044,0.0376,0.0086,NA,0.002,0.0108,0.0449,0.0155,0.0026,0.0181,0.0146,0.0148,0.0309,0.0126,0.004,0.0458,0.0009,0.0099,0.0725,0.044,0.0026
1991,0.0016,,0.0388,,0.0554,0.0023,0.006,0.0077,0.0683,0.0574,0.0651,0.022,0.0082,0.0329,0.0813,,,,NA,,NA,0.032,0.0155,0.0065,NA,NA,,0.066,,,0.0254,,0.0194,0.0097,0.036,NA,0.0032,0.016,0.0407,0.0046,0.0053,0.0044,0.0189,0.0038,0.0283,0.0174,NA,NA,0.0024,0.0214,0.0392,0.1009,0.0005
1992,0.003,,0.0489,0.0242,0.0111,0.0011,0.0067,0.0041,0.0272,0.0069,0.0168,0.004,0.0246,0.0947,0.009,,,,NA,,NA,0.04,0.0185,NA,NA,0.027,,0.0031,,,0.0099,,0.0066,0.0276,NA,NA,0.0006,0.0118,0.0106,0.0007,0.0021,0.0002,0.0154,0.0043,0.025,0.0035,NA,NA,0.0001,0.0016,0.0367,0.0108,0.0013
1993,0.0099,,0.0226,0.0433,0.0003,0.001,0.003,0.0012,0.0256,0.0171,0.0556,0.0065,0.0167,0.0685,0.0323,,,,0.2647,,NA,0.0497,NA,NA,NA,NA,,0.0095,,,0.0087,,0.0357,0.025,0.0038,NA,0.0048,0.0122,0.0132,0.0046,0.0035,0.0005,0.015,0.0044,0.0175,0.0145,NA,0.0103,0.0113,0.0077,0.063,0.048,0.0042
1994,0.0096,,0.0217,0.0319,0.0223,0.0035,0.0069,0.0058,0.018,0.039,0.0544,0.0205,0.0175,0.0012,0.021,,,,0.1212,,0.0191,0.0446,0.004,0.0027,NA,NA,,0.0175,,,0.0167,,0.0388,0.0508,0.0307,NA,0.005,0.0164,0.0389,0.005,0.0036,0.0006,0.0083,0.0056,0.0114,0.0184,NA,0.0148,0.0134,0.0258,0.1101,0.0957,0.008
1995,0.0073,,0.0338,0.0583,0.0468,0.0018,0.0085,0.004,0.0174,0.0119,0.1168,0.0378,0.0236,0.0097,0.0322,,,,0.0386,,0.0747,0.0286,0.0034,0.0091,0.0075,0.0112,0.0022,0.0201,,,0.0238,,0.0131,0.003,0.0065,NA,0.002,0.0228,0.0248,0.0022,0.0006,0.002,0.0037,0.0032,0.0132,0.0019,0.0401,0.0485,0.0009,0.0021,0.0574,0.0473,0.0014
1996,0.0101,,0.0291,NA,0.0042,NA,0.0093,0.0023,0.0088,0.009,0.0388,0.01,0.0014,0.013,0.0273,,,,0.0655,,0.028,0.048,0.0022,0.046,0.0117,0.014,0.0044,0.0153,,,0.0031,,0.0069,0.007,0.0039,NA,,0.007,0.0087,0.0036,0.0023,0.0007,NA,0.0015,0.0144,0.0087,NA,0.0175,0.0076,0.0327,0.083,0.0228,0.0031
1997,0.0049,,0.0172,NA,0.0015,0.0043,0.0168,0.0038,0.0083,0.0112,0.1649,0.0232,0.0027,0.0737,0.0317,,,,0.1192,,0.0747,0.0439,0.0015,0.0089,0.0071,0.0374,0.0077,0.0162,,,0.0031,,0.0228,0.0004,NA,NA,,0.0136,0.011,0.0011,0.0014,0.0054,0.0023,0.0114,0.015,0.0049,NA,0.0467,0.0105,0.007,0.0157,0.0261,0.0231
1998,0.0093,,0.0051,NA,0.0007,0.0178,0.0194,0.0056,0.011,0.0155,0.0305,0.0083,0.0094,0.0572,0.0073,,,,0.1145,,0.0688,0.1035,0.0061,0.0337,0.0414,0.0085,0.0116,0.016,,,0.0051,,0.0122,0.0035,0.0233,NA,,0.0051,0.0307,0.0026,0.0019,0.0022,0.0117,0.0034,0.0247,0.0065,NA,0.0182,0.0414,0.004,0.1553,0.0725,0.0037
1999,0.0172,,0.0214,NA,0.0366,0.0106,0.0134,0.0053,0.0129,NA,0.1224,0.0092,0.0145,0.0771,0.0641,,,,0.0857,,0.04,0.0385,,0.0132,0.0142,0.0089,0.0334,0.0067,,0.02,0.0391,,0.0432,NA,,NA,,0.0224,0.0536,0.0085,0.005,0.0174,0.0219,0.0379,0.0271,0.0224,0.0423,0.0546,0.0436,0.0153,0.1067,0.0573,0.0191
