Stock Country,stock_code,run_year,brood_year,method,cwt_rel_total,rel_total,Age,Cohort Size BNM,Cohort Size ANM,AK W/S T,AK JNO T,AK JNI T,AK JLO T,AK JLI T,AK FALL T,TAK TERM T,NORTH T,CENTRL T,WCVI F/W T,WCVI SPR T,WCVI SUM T,N FALCON T,S FALCON T,TOR TERM T,GEO ST T,ALASKA N,NORTH N,TNBC TERM N,CENTRL N,TCBC TERM N,TWCVI TERM N,WCVI N,GEO ST N,PGSDN N,TPGSDN TERM N,US JF N,PGSDO N,TPGSDO TERM N,WA CST N,TCOL R N,TAK TERM N,TBR TERM N,TNORTH FN,TCENTRAL FN,TGEO ST FN,TFRAS FN,TPS FN,TWAC FN,JNST N,BC JF N,FRASER N,TFRASER TERM N,ALASKA S,CBC S,TCBC TERM S,NBC AABM S,NBC ISBM S,TNBC TERM S,WCVI AABM S,WCVI ISBM S,TWCVI TERM S,N FALCON S,TNF TERM S,S FALCON S,TSF TERM S,PGSDN S,TPGSDN TERM S,PGSDO S,TPGSDO TERM S,JNST S,TJNST TERM S,GEO ST S,TGEO ST TERM S,BC JF S,TBC JF TERM S,TCOL R S,TAK TERM S,TBR TERM S,TNORTH FS,TCENTRAL FS,TWCVI FS,TFRASER FS,TGS FS,TPS FS,TSF TERM FS,TCAN TBR N,CA ESC STRAY,US ESC STRAY,ESCAPE,AEQ Rate,Mat Rate,Youngest Age,Stock MinAge,Stock NAges,CompleteBrYr,LastBrRY,ProdExpFactor,Esc_exp,Decade_BY,Decade_CY,LatestRY,Preterm CA,Preterm US,Term CA,Term US,Ocean Mortality,True Terminal Mortality,Preterm Ocean Net,Total Terminal Mortality,Mature Term Run,TotEst,CohSurvival,ER_PreTerminal,Survival_fromFisheries,MRE_Preterm_annual_est,AEQ_Preterm,TermMort_exp,MRE_Preterm_annual_exp,AEQ_Preterm_exp,Terminal Survival,Marine Survival
CA,BQR,1991,1989,CALENDAR YEAR METHOD,210991,5701175,2,1448.9,869.34,0.5,0.4,0.4,0.8,1.4,0,0,2.7,1.5,0,0,2.1,1.5,0,0,7.6,4.9,8,0,3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,69.1,1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.6216,0.0326,Y,2,4,Y,1994,27.02093928,621.4816035,80s,90s,2020,101.1,9.9,1.7,0,111,1.7,0,1.7,24.7,135.7,0.156095429,0.12768307,0.87231693,3.6186,68.9976,45.93559678,97.77797089,1864.37996,0.931174089,0.006867118
CA,BQR,1995,1990,CALENDAR YEAR METHOD,217849,5402553,5,20.5,18.45,4,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,N,2,4,Y,1995,24.79953087,272.7948395,90s,90s,2020,3.3,4,0.2,0,7.3,0,0.2,0.2,11.2,18.5,1.002710027,0.395663957,0.604336043,7.3,7.3,4.959906174,181.0365753,181.0365753,0.982142857,9.41019E-05
CA,BQR,1994,1990,CALENDAR YEAR METHOD,217849,5402553,4,181.3,145.04,5.1,0,0,6.7,0,0,0,0.1,4.1,0,0,4.3,0,0,0,3.2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0.9767,0.7665,N,2,4,Y,1995,24.79953087,1413.573259,90s,90s,2020,45.3,11.8,7.4,3,57.1,6.4,4,10.4,67.4,124.5,0.858383894,0.393684501,0.606315499,43.76715,55.76957,257.915121,1085.404787,1383.059173,0.845697329,0.000832228
CA,BQR,1993,1990,CALENDAR YEAR METHOD,217849,5402553,3,793.8,555.66,0.5,0,0,0,0,0.8,0,8.9,11.6,0,0,9.6,0,0,0,18.7,5.4,2.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,16.4,0,197.7,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.8466,0.2985,N,2,4,Y,1995,24.79953087,1487.971852,90s,90s,2020,284.5,12.6,17.2,0,297.1,17.2,0,17.2,77.2,374.3,0.673613361,0.53467948,0.46532052,88.68435,251.52486,426.5519309,2199.330275,6237.69853,0.777202073,0.003643808
CA,BQR,1992,1990,CALENDAR YEAR METHOD,217849,5402553,2,1686.1,1011.66,1.2,0,0,0.5,0.4,3.9,0,8.1,7.1,0,0,4.2,0,0,0,18.6,33,0.8,0,6.7,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7.9,0,0,0,4.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,70.9,4.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.6066,0.0343,Y,2,4,Y,1995,24.79953087,520.7901482,90s,90s,2020,145,43.6,4.2,3,188.6,7.2,0,7.2,28.2,216.8,0.214301247,0.18642627,0.81357373,6.46898,114.40476,178.5566222,160.4276692,2837.184377,0.744680851,0.007739765
CA,BQR,1996,1991,CALENDAR YEAR METHOD,191562,4800641,5,5.6,5.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,N,2,4,Y,1996,25.06050783,75.18152348,90s,90s,2020,0,2,0,0,2,0,0,0,3,5,0.992063492,0.396825397,0.603174603,2,2,0,50.12101565,50.12101565,1,2.92334E-05
CA,BQR,1995,1991,CALENDAR YEAR METHOD,191562,4800641,4,85.2,68.16,2,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,2.3,9.8,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,38,0.99,0.8999,N,2,4,Y,1996,25.06050783,952.2992974,90s,90s,2020,5.6,6.2,12.6,0,11.8,11.9,0.7,12.6,50.6,62.4,0.915492958,0.173122066,0.826877934,10.61882,11.682,315.7623986,266.1130217,292.7568524,0.750988142,0.000444765
CA,BQR,1994,1991,CALENDAR YEAR METHOD,191562,4800641,3,334.9,234.43,0.7,0,0,1.3,0,0,0,4.8,0.5,0,0,4.1,0,0,0,11.1,0,8.1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,14.1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0.8796,0.4213,N,2,4,Y,1996,25.06050783,1202.904376,90s,90s,2020,80.1,6,14.1,0,86.1,14.1,0,14.1,62.1,148.2,0.63217165,0.367273813,0.632726187,36.27393,75.73356,353.3531603,909.0431066,1897.921473,0.77294686,0.001748259
CA,BQR,1993,1991,CALENDAR YEAR METHOD,191562,4800641,2,784.6,470.76,0.4,0,0,0,0,0.6,0,1.3,3.5,0,0,1.2,0,0,0,3.9,2.7,10,0,0.4,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,3.7,0,49.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0.6498,0.0887,Y,2,4,Y,1996,25.06050783,776.8757426,90s,90s,2020,97.6,4.8,1.6,0,102.4,1.6,0,1.6,32.6,135,0.286770329,0.217520605,0.782479395,9.08288,66.53952,40.09681252,227.6215853,1667.514162,0.950920245,0.004095802
CA,BQR,1997,1992,CALENDAR YEAR METHOD,210668,4204039,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,N,2,4,Y,1997,19.95575503,0,90s,90s,2020,0,0,0,0,0,0,0,0,0,0,#NUM!,0,1,0,0,0,0,0,,0
