"year","stock","j_group3b","esc"
1998,"king_salmon","north_streamtype",134
1999,"king_salmon","north_streamtype",304
2000,"king_salmon","north_streamtype",138
2001,"king_salmon","north_streamtype",149
2002,"king_salmon","north_streamtype",155
2003,"king_salmon","north_streamtype",119
2004,"king_salmon","north_streamtype",135
2005,"king_salmon","north_streamtype",143
2006,"king_salmon","north_streamtype",150
2007,"king_salmon","north_streamtype",181
2008,"king_salmon","north_streamtype",120
2009,"king_salmon","north_streamtype",109
2010,"king_salmon","north_streamtype",158
2011,"king_salmon","north_streamtype",192
2012,"king_salmon","north_streamtype",155
2013,"king_salmon","north_streamtype",94
2014,"king_salmon","north_streamtype",94
2015,"king_salmon","north_streamtype",94
2016,"king_salmon","north_streamtype",94
2017,"king_salmon","north_streamtype",94
2018,"king_salmon","north_streamtype",NA
1975,"andrew_creek","north_streamtype",507
1976,"andrew_creek","north_streamtype",404
1977,"andrew_creek","north_streamtype",456
1978,"andrew_creek","north_streamtype",388
1979,"andrew_creek","north_streamtype",327
1980,"andrew_creek","north_streamtype",282
1981,"andrew_creek","north_streamtype",536
1982,"andrew_creek","north_streamtype",672
1983,"andrew_creek","north_streamtype",366
1984,"andrew_creek","north_streamtype",389
1985,"andrew_creek","north_streamtype",624
1986,"andrew_creek","north_streamtype",1381
1987,"andrew_creek","north_streamtype",1537
1988,"andrew_creek","north_streamtype",1100
1989,"andrew_creek","north_streamtype",1034
1990,"andrew_creek","north_streamtype",1295
1991,"andrew_creek","north_streamtype",780
1992,"andrew_creek","north_streamtype",1517
1993,"andrew_creek","north_streamtype",2067
1994,"andrew_creek","north_streamtype",1115
1995,"andrew_creek","north_streamtype",669
1996,"andrew_creek","north_streamtype",653
1997,"andrew_creek","north_streamtype",571
1998,"andrew_creek","north_streamtype",950
1999,"andrew_creek","north_streamtype",1180
2000,"andrew_creek","north_streamtype",1346
2001,"andrew_creek","north_streamtype",2055
2002,"andrew_creek","north_streamtype",1708
2003,"andrew_creek","north_streamtype",1160
2004,"andrew_creek","north_streamtype",2991
2005,"andrew_creek","north_streamtype",1979
2006,"andrew_creek","north_streamtype",2124
2007,"andrew_creek","north_streamtype",1736
2008,"andrew_creek","north_streamtype",981
2009,"andrew_creek","north_streamtype",628
2010,"andrew_creek","north_streamtype",1205
2011,"andrew_creek","north_streamtype",936
2012,"andrew_creek","north_streamtype",587
2013,"andrew_creek","north_streamtype",920
2014,"andrew_creek","north_streamtype",920
2015,"andrew_creek","north_streamtype",920
2016,"andrew_creek","north_streamtype",920
2017,"andrew_creek","north_streamtype",920
2018,"andrew_creek","north_streamtype",NA
1975,"unuk","north_streamtype",NA
1976,"unuk","north_streamtype",NA
1977,"unuk","north_streamtype",4706
1978,"unuk","north_streamtype",5344
1979,"unuk","north_streamtype",2783
1980,"unuk","north_streamtype",4909
1981,"unuk","north_streamtype",3532
1982,"unuk","north_streamtype",6528
1983,"unuk","north_streamtype",5436
1984,"unuk","north_streamtype",8876
1985,"unuk","north_streamtype",5721
1986,"unuk","north_streamtype",10273
1987,"unuk","north_streamtype",9533
1988,"unuk","north_streamtype",8437
1989,"unuk","north_streamtype",5552
1990,"unuk","north_streamtype",2856
1991,"unuk","north_streamtype",3165
1992,"unuk","north_streamtype",4223
1993,"unuk","north_streamtype",5160
1994,"unuk","north_streamtype",3435
1995,"unuk","north_streamtype",3730
1996,"unuk","north_streamtype",5639
1997,"unuk","north_streamtype",2970
1998,"unuk","north_streamtype",4132
1999,"unuk","north_streamtype",3914
2000,"unuk","north_streamtype",5872
2001,"unuk","north_streamtype",10541
2002,"unuk","north_streamtype",6988
2003,"unuk","north_streamtype",5546
2004,"unuk","north_streamtype",3963
2005,"unuk","north_streamtype",4742
2006,"unuk","north_streamtype",5645
2007,"unuk","north_streamtype",5668
2008,"unuk","north_streamtype",3104
2009,"unuk","north_streamtype",3157
2010,"unuk","north_streamtype",3835
2011,"unuk","north_streamtype",3195
2012,"unuk","north_streamtype",956
2013,"unuk","north_streamtype",1135
2014,"unuk","north_streamtype",1691
2015,"unuk","north_streamtype",2623
2016,"unuk","north_streamtype",1463
2017,"unuk","north_streamtype",1203
2018,"unuk","north_streamtype",1971
1975,"chickamin","north_streamtype",1758
1976,"chickamin","north_streamtype",746
1977,"chickamin","north_streamtype",1724
1978,"chickamin","north_streamtype",1463
1979,"chickamin","north_streamtype",1135
1980,"chickamin","north_streamtype",2114
1981,"chickamin","north_streamtype",1824
1982,"chickamin","north_streamtype",2712
1983,"chickamin","north_streamtype",2845
1984,"chickamin","north_streamtype",5235
1985,"chickamin","north_streamtype",4541
1986,"chickamin","north_streamtype",8289
1987,"chickamin","north_streamtype",4631
1988,"chickamin","north_streamtype",3734
1989,"chickamin","north_streamtype",4437
1990,"chickamin","north_streamtype",2679
1991,"chickamin","north_streamtype",2313
1992,"chickamin","north_streamtype",1644
1993,"chickamin","north_streamtype",1848
1994,"chickamin","north_streamtype",1843
1995,"chickamin","north_streamtype",2309
1996,"chickamin","north_streamtype",1587
1997,"chickamin","north_streamtype",1292
1998,"chickamin","north_streamtype",1857
1999,"chickamin","north_streamtype",2380
2000,"chickamin","north_streamtype",3805
2001,"chickamin","north_streamtype",5177
2002,"chickamin","north_streamtype",5007
2003,"chickamin","north_streamtype",4579
2004,"chickamin","north_streamtype",4268
2005,"chickamin","north_streamtype",4257
2006,"chickamin","north_streamtype",6318
2007,"chickamin","north_streamtype",4242
2008,"chickamin","north_streamtype",5277
2009,"chickamin","north_streamtype",2902
2010,"chickamin","north_streamtype",5491
2011,"chickamin","north_streamtype",4052
2012,"chickamin","north_streamtype",2109
2013,"chickamin","north_streamtype",2223
2014,"chickamin","north_streamtype",3097
2015,"chickamin","north_streamtype",2760
2016,"chickamin","north_streamtype",964
2017,"chickamin","north_streamtype",722
2018,"chickamin","north_streamtype",2052
1975,"blossom","north_streamtype",565
1976,"blossom","north_streamtype",263
1977,"blossom","north_streamtype",433
1978,"blossom","north_streamtype",553
1979,"blossom","north_streamtype",209
1980,"blossom","north_streamtype",344
1981,"blossom","north_streamtype",615
1982,"blossom","north_streamtype",1335
1983,"blossom","north_streamtype",2279
1984,"blossom","north_streamtype",1966
1985,"blossom","north_streamtype",2744
1986,"blossom","north_streamtype",4946
1987,"blossom","north_streamtype",5221
1988,"blossom","north_streamtype",1486
1989,"blossom","north_streamtype",1331
1990,"blossom","north_streamtype",995
1991,"blossom","north_streamtype",925
1992,"blossom","north_streamtype",581
1993,"blossom","north_streamtype",1173
1994,"blossom","north_streamtype",623
1995,"blossom","north_streamtype",840
1996,"blossom","north_streamtype",851
1997,"blossom","north_streamtype",511
1998,"blossom","north_streamtype",364
1999,"blossom","north_streamtype",968
2000,"blossom","north_streamtype",914
2001,"blossom","north_streamtype",789
2002,"blossom","north_streamtype",867
2003,"blossom","north_streamtype",786
2004,"blossom","north_streamtype",734
2005,"blossom","north_streamtype",926
2006,"blossom","north_streamtype",1270
2007,"blossom","north_streamtype",522
2008,"blossom","north_streamtype",995
2009,"blossom","north_streamtype",476
2010,"blossom","north_streamtype",1405
2011,"blossom","north_streamtype",569
2012,"blossom","north_streamtype",793
2013,"blossom","north_streamtype",987
2014,"blossom","north_streamtype",987
2015,"blossom","north_streamtype",987
2016,"blossom","north_streamtype",987
2017,"blossom","north_streamtype",987
2018,"blossom","north_streamtype",NA
1975,"keta","north_streamtype",611
1976,"keta","north_streamtype",253
1977,"keta","north_streamtype",692
1978,"keta","north_streamtype",1180
1979,"keta","north_streamtype",1282
1980,"keta","north_streamtype",578
1981,"keta","north_streamtype",990
1982,"keta","north_streamtype",2270
1983,"keta","north_streamtype",2474
1984,"keta","north_streamtype",1836
1985,"keta","north_streamtype",1878
1986,"keta","north_streamtype",2077
1987,"keta","north_streamtype",2312
1988,"keta","north_streamtype",1731
1989,"keta","north_streamtype",3477
1990,"keta","north_streamtype",1824
1991,"keta","north_streamtype",819
1992,"keta","north_streamtype",653
1993,"keta","north_streamtype",1090
1994,"keta","north_streamtype",921
1995,"keta","north_streamtype",527
1996,"keta","north_streamtype",894
1997,"keta","north_streamtype",740
1998,"keta","north_streamtype",446
1999,"keta","north_streamtype",968
2000,"keta","north_streamtype",914
2001,"keta","north_streamtype",1032
2002,"keta","north_streamtype",1237
2003,"keta","north_streamtype",969
2004,"keta","north_streamtype",1132
2005,"keta","north_streamtype",1496
2006,"keta","north_streamtype",2248
2007,"keta","north_streamtype",936
2008,"keta","north_streamtype",1093
2009,"keta","north_streamtype",659
2010,"keta","north_streamtype",1430
2011,"keta","north_streamtype",671
2012,"keta","north_streamtype",725
2013,"keta","north_streamtype",1484
2014,"keta","north_streamtype",1484
2015,"keta","north_streamtype",1484
2016,"keta","north_streamtype",1484
2017,"keta","north_streamtype",1484
2018,"keta","north_streamtype",NA
1975,"yakoun","north_streamtype",1500
1976,"yakoun","north_streamtype",700
1977,"yakoun","north_streamtype",800
1978,"yakoun","north_streamtype",600
1979,"yakoun","north_streamtype",400
1980,"yakoun","north_streamtype",600
1981,"yakoun","north_streamtype",750
1982,"yakoun","north_streamtype",1400
1983,"yakoun","north_streamtype",600
1984,"yakoun","north_streamtype",300
1985,"yakoun","north_streamtype",1500
1986,"yakoun","north_streamtype",500
1987,"yakoun","north_streamtype",2000
1988,"yakoun","north_streamtype",2000
1989,"yakoun","north_streamtype",2800
1990,"yakoun","north_streamtype",2000
1991,"yakoun","north_streamtype",1900
1992,"yakoun","north_streamtype",2000
1993,"yakoun","north_streamtype",1000
1994,"yakoun","north_streamtype",2000
1995,"yakoun","north_streamtype",1500
1996,"yakoun","north_streamtype",3000
1997,"yakoun","north_streamtype",2500
1998,"yakoun","north_streamtype",3000
1999,"yakoun","north_streamtype",3200
2000,"yakoun","north_streamtype",3600
2001,"yakoun","north_streamtype",3500
2002,"yakoun","north_streamtype",3000
2003,"yakoun","north_streamtype",4000
2004,"yakoun","north_streamtype",4500
2005,"yakoun","north_streamtype",5000
2006,"yakoun","north_streamtype",NA
2007,"yakoun","north_streamtype",NA
2008,"yakoun","north_streamtype",NA
2009,"yakoun","north_streamtype",NA
2010,"yakoun","north_streamtype",NA
2011,"yakoun","north_streamtype",NA
2012,"yakoun","north_streamtype",NA
2013,"yakoun","north_streamtype",NA
2014,"yakoun","north_streamtype",NA
2015,"yakoun","north_streamtype",NA
2016,"yakoun","north_streamtype",NA
2017,"yakoun","north_streamtype",NA
2018,"yakoun","north_streamtype",NA
1975,"nass","north_streamtype",NA
1976,"nass","north_streamtype",NA
1977,"nass","north_streamtype",13688
1978,"nass","north_streamtype",15485
1979,"nass","north_streamtype",11253
1980,"nass","north_streamtype",13476
1981,"nass","north_streamtype",12625
1982,"nass","north_streamtype",7959
1983,"nass","north_streamtype",13252
1984,"nass","north_streamtype",20967
1985,"nass","north_streamtype",17782
1986,"nass","north_streamtype",36523
1987,"nass","north_streamtype",19540
1988,"nass","north_streamtype",15345
1989,"nass","north_streamtype",28133
1990,"nass","north_streamtype",24051
1991,"nass","north_streamtype",6907
1992,"nass","north_streamtype",16808
1993,"nass","north_streamtype",24814
1994,"nass","north_streamtype",21169
1995,"nass","north_streamtype",7844
1996,"nass","north_streamtype",21842
1997,"nass","north_streamtype",18702
1998,"nass","north_streamtype",23213
1999,"nass","north_streamtype",11544
2000,"nass","north_streamtype",18912
2001,"nass","north_streamtype",29687
2002,"nass","north_streamtype",13773
